Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar,Temperture
1/1/1994,-124.375,47.92710114,244,9.043,5.392,3.493310364,3.373450288,0.935666135,2.534735808,7.2175
1/2/1994,-124.375,47.92710114,244,10.525,7.401,6.650162078,6.213477467,0.922217616,0.79458768,8.963
1/3/1994,-124.375,47.92710114,244,10.989,7.344,37.42902376,5.574258072,0.929740139,0.7174125,9.1665
1/4/1994,-124.375,47.92710114,244,9.782,6.088,22.5391392,6.355791711,0.949377244,0.82271286,7.935
1/5/1994,-124.375,47.92710114,244,6.794,4.795,0.50125153,4.603419008,0.865867826,5.2209018,5.7945
1/6/1994,-124.375,47.92710114,244,6.096,1.239,0.137329013,2.459426441,0.818731237,5.320463832,3.6675
1/7/1994,-124.375,47.92710114,244,7.359,5.651,4.669191252,5.952641109,0.873243325,1.40748741,6.505
1/8/1994,-124.375,47.92710114,244,8.787,6.811,10.3031177,4.834364601,0.954208008,2.5828875,7.799
1/9/1994,-124.375,47.92710114,244,8.129,6.081,0.920104639,2.971118701,0.924979753,3.456898308,7.105
1/10/1994,-124.375,47.92710114,244,8.56,6.765,11.08245877,5.463101093,0.928572049,0.56818116,7.6625
1/11/1994,-124.375,47.92710114,244,8.862,7.885,2.870178408,4.402989622,0.94679083,1.23457518,8.3735
1/12/1994,-124.375,47.92710114,244,10.792,8.486,14.33372576,3.671168706,0.960770784,2.0711826,9.639
1/13/1994,-124.375,47.92710114,244,10.159,4.511,0.635147143,2.327675012,0.958642986,2.035856412,7.335
1/14/1994,-124.375,47.92710114,244,11.502,5.209,0.00686646,2.64425862,0.91564047,5.55170616,8.3555
1/15/1994,-124.375,47.92710114,244,8.43,5.73,1.546668936,3.836394652,0.910402951,1.133943228,7.08
1/16/1994,-124.375,47.92710114,244,8.502,1.263,0,2.284588916,0.886109164,6.0591951,4.8825
1/17/1994,-124.375,47.92710114,244,9.561,0.761,0,1.00056119,0.875066663,6.29785692,5.161
1/18/1994,-124.375,47.92710114,244,8.728,0.533,0,1.342480097,0.859668499,6.171690168,4.6305
1/19/1994,-124.375,47.92710114,244,9.678,4.285,0.061798118,3.554340925,0.897714542,4.012085268,6.9815
1/20/1994,-124.375,47.92710114,244,11.937,6.228,0,5.088125172,0.753601995,5.5743165,9.0825
1/21/1994,-124.375,47.92710114,244,10.111,7.932,11.15284464,5.903526759,0.845323954,0.628425288,9.0215
1/22/1994,-124.375,47.92710114,244,10.834,8.382,12.66517973,5.691239612,0.933851194,1.68390072,9.608
1/23/1994,-124.375,47.92710114,244,10.518,7.691,19.5281996,4.06120938,0.937654372,2.095087608,9.1045
1/24/1994,-124.375,47.92710114,244,8.168,4.224,12.98275092,2.890200395,0.935439228,0.991406628,6.196
1/25/1994,-124.375,47.92710114,244,7.06,4.365,7.793426844,1.290795326,0.949059767,2.55999204,5.7125
1/26/1994,-124.375,47.92710114,244,7.601,5.543,0.35362255,2.434071959,0.919050548,5.54861376,6.572
1/27/1994,-124.375,47.92710114,244,6.975,3.645,0.065231359,2.265918961,0.853519667,7.21614222,5.31
1/28/1994,-124.375,47.92710114,244,8.142,3.438,0.017166132,3.083202489,0.793842476,7.85047572,5.79
1/29/1994,-124.375,47.92710114,244,11.255,4.846,0,2.324933525,0.723560196,8.03914434,8.0505
1/30/1994,-124.375,47.92710114,244,8.791,3.913,0,3.895841825,0.774555163,8.378887608,6.352
1/31/1994,-124.375,47.92710114,244,9.429,3.014,0,2.626797352,0.709325043,8.5516362,6.2215
2/1/1994,-124.375,47.92710114,244,10.083,2.949,0,2.227688069,0.744726562,8.56912392,6.516
2/2/1994,-124.375,47.92710114,244,9.831,0.846,0,1.717024858,0.733779554,8.73827343,5.3385
2/3/1994,-124.375,47.92710114,244,8.597,-1.672,0,1.493301512,0.755187307,8.93103507,3.4625
2/4/1994,-124.375,47.92710114,244,7.601,0.916,0,2.504046452,0.723092587,9.07503462,4.2585
2/5/1994,-124.375,47.92710114,244,8.735,-1.051,0,1.723756018,0.768959021,9.28000566,3.842
2/6/1994,-124.375,47.92710114,244,6.371,-0.878,0.075531038,1.534020617,0.799316387,6.987546288,2.7465
2/7/1994,-124.375,47.92710114,244,3.521,-2.823,0.127029384,6.423096104,0.52830542,9.90945036,0.349
2/8/1994,-124.375,47.92710114,244,3.818,-3.163,2.719120392,5.007693343,0.637092335,6.114773088,0.3275
2/9/1994,-124.375,47.92710114,244,5.972,-2.031,8.442307224,5.344921334,0.899212086,9.24828606,1.9705
2/10/1994,-124.375,47.92710114,244,5.999,-4.328,0,2.028359273,0.836052869,9.76882554,0.8355
2/11/1994,-124.375,47.92710114,244,7.807,-0.988,0.157928486,3.766056908,0.813638072,8.64022779,3.4095
2/12/1994,-124.375,47.92710114,244,6.614,5.075,23.30474695,11.13682358,0.908494074,1.14913107,5.8445
2/13/1994,-124.375,47.92710114,244,5.507,3.888,29.0141928,6.269209894,0.91630317,5.12493606,4.6975
2/14/1994,-124.375,47.92710114,244,7.209,4.44,11.73477096,8.427872655,0.922191445,1.130568336,5.8245
2/15/1994,-124.375,47.92710114,244,7.093,5.575,28.094085,5.871658403,0.944475507,6.067295622,6.334
2/16/1994,-124.375,47.92710114,244,9.175,6.145,28.561014,8.772176154,0.92673566,1.13360598,7.66
2/17/1994,-124.375,47.92710114,244,7.605,3.704,10.35633011,3.827731163,0.90770317,6.31580436,5.6545
2/18/1994,-124.375,47.92710114,244,5.519,0.173,1.668548441,2.860370898,0.824409074,10.91440872,2.846
2/19/1994,-124.375,47.92710114,244,6.955,1.964,0.130462632,2.757621282,0.808758444,11.59267435,4.4595
2/20/1994,-124.375,47.92710114,244,7.12,3.273,4.81339175,5.408267125,0.84352735,8.599498848,5.1965
2/21/1994,-124.375,47.92710114,244,4.948,1.794,4.212571248,2.735140265,0.885465294,11.55386585,3.371
2/22/1994,-124.375,47.92710114,244,7.066,1.858,4.332733452,5.293199737,0.87632927,1.377338256,4.462
2/23/1994,-124.375,47.92710114,244,5.232,-0.121,5.393599488,3.845731269,0.806011267,5.92954038,2.5555
