"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1994","-119.688003540039","36.6869010925293","91","21.95","6.57400000000001","0","1.31087302952598","0.464602115841708","9.92323062",
"1/2/1994","-119.688003540039","36.6869010925293","91","22.818","7.42700000000002","0","0.942235694142032","0.577289081352363","9.28749762",
"1/3/1994","-119.688003540039","36.6869010925293","91","25.624","8.51999999999998","0","1.44284204355094","0.43751162657592","10.765407132",
"1/4/1994","-119.688003540039","36.6869010925293","91","25.103","12.489","0","2.23572762752905","0.183404326126417","8.14511736",
"1/5/1994","-119.688003540039","36.6869010925293","91","18.426","8.46499999999998","0","3.92045842872638","0.432018977650372","10.907999892",
"1/6/1994","-119.688003540039","36.6869010925293","91","17.179","3.03100000000001","0","1.95668208849104","0.494755657911298","11.21141322",
"1/7/1994","-119.688003540039","36.6869010925293","91","19.273","4.64699999999999","0","1.36441055452868","0.417177402401415","10.098335664",
"1/8/1994","-119.688003540039","36.6869010925293","91","20.142","3.79599999999999","0","1.88589878506089","0.22362614037316","11.4262317",
"1/9/1994","-119.688003540039","36.6869010925293","91","16.263","5.12","0","2.38357954336389","0.618234607600555","11.068198668",
"1/10/1994","-119.688003540039","36.6869010925293","91","17.413","2.56900000000002","0","1.38032900536973","0.608906977648895","11.33279802",
"1/11/1994","-119.688003540039","36.6869010925293","91","19.156","4.17899999999997","0","1.81448526599266","0.504504117269618","11.4850107",
"1/12/1994","-119.688003540039","36.6869010925293","91","21.504","5.35899999999998","0","1.82249905935286","0.519933668734255","11.51522352",
"1/13/1994","-119.688003540039","36.6869010925293","91","25.033","6.15499999999997","0","1.70952541612899","0.52183986318413","11.198531808",
"1/14/1994","-119.688003540039","36.6869010925293","91","23.953","11.025","0","1.61674835712972","0.370218732680003","8.100953892",
"1/15/1994","-119.688003540039","36.6869010925293","91","24.301","9.96600000000001","0","1.51481625995238","0.364163701634723","11.78594964",
"1/16/1994","-119.688003540039","36.6869010925293","91","23.028","6.43799999999999","0","1.50554820476663","0.473761850465219","11.89631394",
"1/17/1994","-119.688003540039","36.6869010925293","91","25.664","9.39400000000001","0","1.99883574031523","0.416462880853518","11.938049928",
"1/18/1994","-119.688003540039","36.6869010925293","91","26.854","10.756","0","2.08978275792016","0.361314734833737","12.13278408",
"1/19/1994","-119.688003540039","36.6869010925293","91","27.01","12.518","0","2.41804732443906","0.341377464002719","12.30170814",
"1/20/1994","-119.688003540039","36.6869010925293","91","26.302","11.355","0","2.65356674551403","0.260069392870898","12.56101812",
"1/21/1994","-119.688003540039","36.6869010925293","91","25.425","13.075","0","3.18448121968416","0.187831710037297","11.12962518",
"1/22/1994","-119.688003540039","36.6869010925293","91","26.675","14.395","0","3.76375188931988","0.169399336424259","12.5023554",
"1/23/1994","-119.688003540039","36.6869010925293","91","19.147","12.992","4.77905328","5.23988470528222","0.385491706424296","9.340988382",
"1/24/1994","-119.688003540039","36.6869010925293","91","17.04","7.60500000000002","6.818394492","3.76551193852385","0.584480924651541","4.889585412",
"1/25/1994","-119.688003540039","36.6869010925293","91","11.503","5.14100000000002","0.2918241936","3.2046327685303","0.669614659689286","12.216655872",
"1/26/1994","-119.688003540039","36.6869010925293","91","13.755","4.16000000000003","0.0034332264","2.04810613663487","0.624775741272687","12.796478928",
"1/27/1994","-119.688003540039","36.6869010925293","91","14.618","4.113","0","2.17188662796177","0.695518074868554","12.7895112",
"1/28/1994","-119.688003540039","36.6869010925293","91","16.875","5.05500000000001","0","2.38595246408998","0.445138506795243","13.355155728",
"1/29/1994","-119.688003540039","36.6869010925293","91","17.426","4.37799999999999","0","1.93919554373129","0.492549239341243","13.5933696",
"1/30/1994","-119.688003540039","36.6869010925293","91","19.292","3.06099999999998","0","1.49119889565122","0.573981203393368","13.66161174",
"1/31/1994","-119.688003540039","36.6869010925293","91","19.327","6.70699999999999","0","2.07210417642797","0.413406512192202","13.93711956",
"2/1/1994","-119.688003540039","36.6869010925293","91","18.044","4.91800000000001","0","1.47776058709216","0.4044845480118","10.01024676",
"2/2/1994","-119.688003540039","36.6869010925293","91","18.712","4.17099999999999","0","1.27663168764499","0.282714970349235","11.604091752",
"2/3/1994","-119.688003540039","36.6869010925293","91","17.414","9.81","0.4463199504","2.33202352863343","0.374364051029673","8.748222264",
"2/4/1994","-119.688003540039","36.6869010925293","91","17.024","7.91399999999999","1.3183596","1.94305226330624","0.587079137113071","12.998753568",
"2/5/1994","-119.688003540039","36.6869010925293","91","18.511","7.78100000000001","0.00686646","2.61253656113545","0.440769930619077","11.5464366",
"2/6/1994","-119.688003540039","36.6869010925293","91","16.266","12.55","2.647016748","3.1589328972995","0.543875050120946","3.94448094",
"2/7/1994","-119.688003540039","36.6869010925293","91","15.315","10.725","17.49229056","5.46707380137164","0.718089913526493","4.753294956",
"2/8/1994","-119.688003540039","36.6869010925293","91","14.149","6.45600000000002","7.472418876","2.72453269015876","0.818079688054096","9.764772408",
"2/9/1994","-119.688003540039","36.6869010925293","91","16.835","4.69099999999997","0","1.52153254648053","0.658813453861684","14.81832828",
"2/10/1994","-119.688003540039","36.6869010925293","91","18.692","7.44600000000003","1.7440818264","1.3775593506938","0.543610357809","14.19783732",
"2/11/1994","-119.688003540039","36.6869010925293","91","15.543","4.32900000000001","1.20849768","3.29028728368379","0.645441369748336","15.56398152",
"2/12/1994","-119.688003540039","36.6869010925293","91","18.424","3.21699999999998","0","1.96120144123861","0.43264367976433","16.09633512",
"2/13/1994","-119.688003540039","36.6869010925293","91","21.223","5.35199999999998","0","1.91383037575029","0.390600363183692","14.3701866",
"2/14/1994","-119.688003540039","36.6869010925293","91","21.429","5.233","0","2.02887122101793","0.339582986891874","16.36863948",
"2/15/1994","-119.688003540039","36.6869010925293","91","22.736","5.005","0","2.5469857330655","0.24388151833734","14.616621",
"2/16/1994","-119.688003540039","36.6869010925293","91","19.757","13.136","0.5218488792","3.52473912601418","0.289372685333549","5.244298488",
