"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1994","-90","30.1301002502441","-9999","15.01","11.641","8.55388278","3.50964415174477","0.866532302027348","3.81650382",
"1/2/1994","-90","30.1301002502441","-9999","13.55","10.533","0.8857728","2.49552697075086","0.883792671776874","6.18401016",
"1/3/1994","-90","30.1301002502441","-9999","13.855","5.51499999999999","1.349257392","8.69809585521058","0.845011100818824","3.82983768",
"1/4/1994","-90","30.1301002502441","-9999","11.288","3.53699999999998","0.0446319432","6.66245291563409","0.769160426582463","10.49231808",
"1/5/1994","-90","30.1301002502441","-9999","12.78","2.03199999999998","0","4.44858419859516","0.752513410865586","13.96294416",
"1/6/1994","-90","30.1301002502441","-9999","18.96","13.391","0","7.29148742401409","0.81730248796263","11.70928728",
"1/7/1994","-90","30.1301002502441","-9999","19.486","4.78399999999999","3.76625268","7.6390994264491","0.847843652040317","2.71906686",
"1/8/1994","-90","30.1301002502441","-9999","9.96800000000002","1.12","0.01373292","5.91198297185064","0.617515564426709","14.40388224",
"1/9/1994","-90","30.1301002502441","-9999","11.109","4.11200000000002","0","5.14946574199168","0.557440943878555","14.47385976",
"1/10/1994","-90","30.1301002502441","-9999","13.171","9.49599999999998","0.5699155464","7.22851178863399","0.776690658635065","6.00412464",
"1/11/1994","-90","30.1301002502441","-9999","15.923","11.6","3.4297936488","5.45613182460243","0.899677273322699","8.63876484",
"1/12/1994","-90","30.1301002502441","-9999","14.315","11.069","6.8492853","3.36871101990423","0.895714494889801","7.50442302",
"1/13/1994","-90","30.1301002502441","-9999","11.16","7.95100000000002","7.57026864","4.36908037071424","0.888869526112057","2.45160018",
"1/14/1994","-90","30.1301002502441","-9999","14.221","7.20699999999999","0","4.48805305951727","0.755032232698836","14.4533232",
"1/15/1994","-90","30.1301002502441","-9999","10.705","4.44","0","4.90034835523199","0.714118001041009","14.2667478",
"1/16/1994","-90","30.1301002502441","-9999","16.129","6.19400000000002","4.421999808","8.89414580367365","0.831488342458779","6.44416812",
"1/17/1994","-90","30.1301002502441","-9999","17.519","3.411","18.7797516264","9.10316430130443","0.878587032878042","2.517583032",
"1/18/1994","-90","30.1301002502441","-9999","6.815","0.341000000000008","0","7.74860998924874","0.726342342712486","14.22455616",
"1/19/1994","-90","30.1301002502441","-9999","5.702","-1.67899999999997","0","4.84592472492666","0.613511706359931","14.9522058",
"1/20/1994","-90","30.1301002502441","-9999","10.93","5.29199999999997","0.1235962296","4.4739773039729","0.801057363447545","7.104321",
"1/21/1994","-90","30.1301002502441","-9999","11.554","4.56099999999998","0","5.4832984709739","0.641641278519332","14.77608444",
"1/22/1994","-90","30.1301002502441","-9999","11.622","4.70499999999998","0","2.94755099351224","0.552418831896613","14.29559676",
"1/23/1994","-90","30.1301002502441","-9999","13.969","8.12700000000001","0","2.41386135873833","0.52476182707226","15.02443008",
"1/24/1994","-90","30.1301002502441","-9999","14.962","10.33","0","3.08988428896706","0.758423772770371","13.6588446",
"1/25/1994","-90","30.1301002502441","-9999","17.815","13.609","0.0926971344","3.59145951724994","0.897008389052233","13.23410616",
"1/26/1994","-90","30.1301002502441","-9999","17.934","14.997","0.092697156","5.24944138198136","0.904509206527117","8.24146668",
"1/27/1994","-90","30.1301002502441","-9999","19.585","16.896","16.0846826904","8.59074662191497","0.861189312595402","7.67390544",
"1/28/1994","-90","30.1301002502441","-9999","17.315","9.18599999999998","16.5567466728","4.80786086695922","0.838236094864123","6.93337464",
"1/29/1994","-90","30.1301002502441","-9999","9.04199999999997","6.53699999999998","24.10983972","4.72809451941883","0.913578963718783","1.542994272",
"1/30/1994","-90","30.1301002502441","-9999","10.254","5.67200000000003","1.998137196","4.97797209099763","0.804537220298983","12.554441712",
"1/31/1994","-90","30.1301002502441","-9999","9.97399999999999","4.18400000000003","0","5.32046261056333","0.730236356982258","16.29248328",
"2/1/1994","-90","30.1301002502441","-9999","7.72199999999998","3.04199999999997","4.05121338","4.09049985239678","0.636029911251942","14.88358152",
"2/2/1994","-90","30.1301002502441","-9999","8.56400000000002","1.92700000000002","0.569916","2.83669698562935","0.601154170060873","17.06720256",
"2/3/1994","-90","30.1301002502441","-9999","11.753","4.779","0","3.19253843981843","0.622801041825923","16.33765032",
"2/4/1994","-90","30.1301002502441","-9999","17.076","12.355","1.840210272","4.50506712451903","0.893736010443133","5.74154712",
"2/5/1994","-90","30.1301002502441","-9999","17.753","16.29","0.9716034456","4.41255072298023","0.91324570513763","3.97496376",
"2/6/1994","-90","30.1301002502441","-9999","17.597","15.761","7.00721964","2.43508275906123","0.867502994189232","14.32642068",
"2/7/1994","-90","30.1301002502441","-9999","17.36","15.022","0.00686646","3.37560823703483","0.850991147252623","8.67088152",
"2/8/1994","-90","30.1301002502441","-9999","21.158","16.813","0.216293328","5.07066408537833","0.858835675095405","15.9733665",
"2/9/1994","-90","30.1301002502441","-9999","21.717","17.539","0.621414216","3.752293926793","0.870253488195214","16.29247734",
"2/10/1994","-90","30.1301002502441","-9999","22.411","11.09","15.1508318256","5.53208019409243","0.904333032952444","7.6437567",
"2/11/1994","-90","30.1301002502441","-9999","11.643","5.53899999999999","0.405120888","5.25877502577883","0.80793853775974","17.030925",
"2/12/1994","-90","30.1301002502441","-9999","16.396","7.93299999999999","0","3.09252858259716","0.807217651392039","17.728704",
"2/13/1994","-90","30.1301002502441","-9999","13.175","7.25400000000002","0.6797787768","6.67110693762477","0.761146295321051","10.82109708",
"2/14/1994","-90","30.1301002502441","-9999","13.47","4.089","0","4.88211416752299","0.620812170766183","18.85308786",
"2/15/1994","-90","30.1301002502441","-9999","14.827","9.73000000000002","3.220370568","3.89595327329283","0.76254562708913","5.1191433",
"2/16/1994","-90","30.1301002502441","-9999","16.71","10.203","3.5310763728","4.15739976709464","0.754519820950703","16.29860598",
"2/17/1994","-90","30.1301002502441","-9999","17.578","10.932","0","2.93975154062308","0.67466416734614","18.2270826",
"2/18/1994","-90","30.1301002502441","-9999","16.73","12.797","0.7089612552","4.00861679081531","0.827740066631422","5.14687626",
"2/19/1994","-90","30.1301002502441","-9999","17.996","16.408","0.827408268","5.38018775443852","0.887628882811037","7.11641178",
"2/20/1994","-90","30.1301002502441","-9999","18.326","16.304","0.480651948","2.94240274929314","0.910025542220192","7.48237644",
"2/21/1994","-90","30.1301002502441","-9999","18.974","15.567","0.2574921024","2.43216652896613","0.893413048853493","15.30860616",
"2/22/1994","-90","30.1301002502441","-9999","22.537","17.698","0.30555738","5.61654108366613","0.797517129815772","16.62294042",
"2/23/1994","-90","30.1301002502441","-9999","18.972","10.923","14.8675914","4.69676217477306","0.867544965009381","4.36651794",
"2/24/1994","-90","30.1301002502441","-9999","13.418","5.22399999999999","0.3776544","4.00268698199738","0.602936580269284","18.994563",
"2/25/1994","-90","30.1301002502441","-9999","17.501","9.80900000000003","0","2.40538005948994","0.589671438753524","19.36052154",
"2/26/1994","-90","30.1301002502441","-9999","14.265","7.93700000000001","0.085830696","7.0338353555496","0.684491335791166","15.5657241",
"2/27/1994","-90","30.1301002502441","-9999","13.676","5.798","0","4.43570911140843","0.546504685444824","19.6166817",
"2/28/1994","-90","30.1301002502441","-9999","17.263","10.057","0.243759204","5.16110832078128","0.807966428571046","10.48111992",
