"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1994","-74.0625","40.7458992004395","22","5.20800000000003","-5.459","0.078964272","4.49546410228996","0.755609431369355","7.53766992",
"1/2/1994","-74.0625","40.7458992004395","22","7.06400000000002","-2.37900000000002","0.199127412","3.8301428105217","0.766845424408658","8.25316542",
"1/3/1994","-74.0625","40.7458992004395","22","0.851999999999975","-2.88400000000001","5.6819915784","6.09948356882574","0.72986811600205","3.57884604",
"1/4/1994","-74.0625","40.7458992004395","22","2.15600000000001","-5.21100000000001","12.956999364","7.43907938838298","0.939738766877299","0.733274748",
"1/5/1994","-74.0625","40.7458992004395","22","-0.77800000000002","-7.48399999999998","0.1029968424","7.34395314564463","0.603294159125413","6.55238592",
"1/6/1994","-74.0625","40.7458992004395","22","-2.666","-8.822","1.785277872","3.19961021291008","0.696934915790414","3.11152302",
"1/7/1994","-74.0625","40.7458992004395","22","-1.22800000000001","-6.34699999999998","9.1787346","5.13025548263077","0.929801840025889","1.42126902",
"1/8/1994","-74.0625","40.7458992004395","22","-0.601999999999975","-9.75400000000002","12.696079068","6.44479628751607","0.896045390634448","4.8125826",
"1/9/1994","-74.0625","40.7458992004395","22","-4.762","-11.357","0.0308990448","6.88589984545877","0.601217807409341","8.6586723",
"1/10/1994","-74.0625","40.7458992004395","22","-4.31999999999999","-11.154","0","3.56339586355742","0.579355073043912","9.29710998",
"1/11/1994","-74.0625","40.7458992004395","22","1.34399999999999","-9.15800000000002","0","3.10636342465587","0.702416482087445","6.56578008",
"1/12/1994","-74.0625","40.7458992004395","22","0.680999999999983","-3.07900000000001","13.8874049064","3.30704710889758","0.952116266237733","1.0008558",
"1/13/1994","-74.0625","40.7458992004395","22","3.005","-2.54000000000002","0.5870819952","2.24236544637873","0.871690161332382","6.6318165",
"1/14/1994","-74.0625","40.7458992004395","22","3.221","-6.06799999999998","1.653098508","3.32598289807432","0.861551536595667","4.30273044",
"1/15/1994","-74.0625","40.7458992004395","22","-7.23700000000002","-16.892","0.168228144","6.92406977569658","0.50373369524479","7.73212536",
"1/16/1994","-74.0625","40.7458992004395","22","-11.734","-17.766","0.00686646","5.77588139564321","0.461583688441932","9.89566812",
"1/17/1994","-74.0625","40.7458992004395","22","5.22800000000001","-14.039","20.1324753504","5.15702837670472","0.862107934964069","2.59976196",
"1/18/1994","-74.0625","40.7458992004395","22","-0.11099999999999","-16.518","12.6686313864","6.75494509723098","0.815496459894943","9.14721138",
"1/19/1994","-74.0625","40.7458992004395","22","-14.897","-21.439","0","5.25221691037262","0.608574326455722","10.46599308",
"1/20/1994","-74.0625","40.7458992004395","22","-12.246","-21.608","0.1029968424","3.61954170746722","0.655190212261724","9.82288548",
"1/21/1994","-74.0625","40.7458992004395","22","-7.43599999999998","-16.489","0","3.53123458682031","0.619556174189135","9.6572772",
"1/22/1994","-74.0625","40.7458992004395","22","-1.89100000000002","-11.508","0.1579284432","6.05743440125012","0.700811611262987","7.88298444",
"1/23/1994","-74.0625","40.7458992004395","22","-1.06299999999999","-8.42000000000002","0.7656097104","3.19875153931116","0.698151545326592","4.85072568",
"1/24/1994","-74.0625","40.7458992004395","22","6.76999999999998","-0.509999999999991","0.401687496","4.79492414385638","0.896356860841761","9.57729744",
"1/25/1994","-74.0625","40.7458992004395","22","2.78100000000001","-1.66500000000002","1.3492588968","3.42412693318581","0.857832682438516","5.4752616",
