"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1994","87.5","43.8680992126465","710","-0.504000000000019","-16.89","0.3330234","1.37246489677308","0.8314663631089","7.4256741",
"1/2/1994","87.5","43.8680992126465","710","-4.54000000000002","-17.661","0.5218504344","1.4188912411392","0.895071970647178","6.4837107",
"1/3/1994","87.5","43.8680992126465","710","-5.25900000000001","-20.342","0","1.33122205329943","0.811521544344698","8.5272183",
"1/4/1994","87.5","43.8680992126465","710","-4.608","-21.329","0","1.55641018455874","0.745030793936014","8.7324129",
"1/5/1994","87.5","43.8680992126465","710","-3.06799999999998","-18.043","0","2.50271414469234","0.721940132678762","8.63532918",
"1/6/1994","87.5","43.8680992126465","710","0.576999999999998","-15.972","0","3.03400066364236","0.715563472058128","8.8910469",
"1/7/1994","87.5","43.8680992126465","710","0.961999999999989","-5.75200000000001","0","4.6159877753741","0.735724457868668","9.02902752",
"1/8/1994","87.5","43.8680992126465","710","-0.66500000000002","-12.634","0.2849578272","2.44631036489226","0.725651675613321","6.47921016",
"1/9/1994","87.5","43.8680992126465","710","-0.0989999999999895","-15.751","0.0034332264","1.69942065343411","0.835177874345555","8.54392446",
"1/10/1994","87.5","43.8680992126465","710","-1.37700000000001","-15.258","0.28839132","2.39913098811057","0.780137607397728","6.54226722",
"1/11/1994","87.5","43.8680992126465","710","-3.41800000000001","-13.786","0.968170104","2.70904920378033","0.850696857618356","8.9931924",
"1/12/1994","87.5","43.8680992126465","710","0.0330000000000155","-13.289","0","2.92015876223007","0.753885203294697","9.11615832",
"1/13/1994","87.5","43.8680992126465","710","0.956000000000017","-11.248","0","4.17624041543906","0.723670046969125","9.30582522",
"1/14/1994","87.5","43.8680992126465","710","-4.72000000000003","-22.129","0.6282807768","2.69184959835026","0.776301547713398","7.7468031",
"1/15/1994","87.5","43.8680992126465","710","-14.747","-24.398","1.352691648","2.71142949325647","0.777589408846929","9.71183754",
"1/16/1994","87.5","43.8680992126465","710","-10.51","-27.354","0","1.46995741419263","0.648946510314069","9.8381268",
"1/17/1994","87.5","43.8680992126465","710","-7.29700000000003","-20.763","0","2.47508732655099","0.72090671864885","9.8136504",
"1/18/1994","87.5","43.8680992126465","710","-10.791","-25.538","0","1.64419227552602","0.712063243678864","9.9278964",
"1/19/1994","87.5","43.8680992126465","710","-9.32299999999998","-25.647","0","1.35822657415552","0.740493160495122","10.01115288",
