"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"1/1/1994","113.75","34.8134994506836","100","10.396","0.88900000000001","0","3.55734607218758","0.288880440327736","11.28808152",
"1/2/1994","113.75","34.8134994506836","100","10.997","-0.838999999999999","0","2.37430605981649","0.457666825024705","9.22719429",
"1/3/1994","113.75","34.8134994506836","100","10.21","-1.952","0","1.38965186975505","0.577639434411513","11.17834137",
"1/4/1994","113.75","34.8134994506836","100","9.56299999999999","-2.95299999999997","0","1.35431980051391","0.645222214551268","10.79066223",
"1/5/1994","113.75","34.8134994506836","100","12.87","-1.05500000000001","0","3.80326879233596","0.560985698212571","11.14599015",
"1/6/1994","113.75","34.8134994506836","100","9.95299999999997","1.54000000000002","0","2.10062824756944","0.306615457468933","10.3859478",
"1/7/1994","113.75","34.8134994506836","100","10.554","-1.08600000000001","0","3.67075428532488","0.27245467361573","10.89888795",
"1/8/1994","113.75","34.8134994506836","100","15.398","1.03199999999998","0","4.81288125154029","0.323637316289349","11.72441205",
"1/9/1994","113.75","34.8134994506836","100","14.631","0.793999999999983","0","2.30514990241455","0.421063415547795","11.79017505",
"1/10/1994","113.75","34.8134994506836","100","6.93400000000003","-1.78100000000001","0","3.45096660924078","0.610229340063919","11.49457617",
"1/11/1994","113.75","34.8134994506836","100","5.34199999999998","-4.87900000000002","0","1.61813238508581","0.723853632920438","11.12298525",
"1/12/1994","113.75","34.8134994506836","100","10.476","-1.68200000000002","0","1.60860593625007","0.561897139166335","8.24782329",
"1/13/1994","113.75","34.8134994506836","100","9.98099999999999","-3.22500000000002","0","2.54671265343393","0.363493678521296","12.14410338",
"1/14/1994","113.75","34.8134994506836","100","10.814","-2.35300000000001","0","2.99099258735682","0.425243095088921","12.20158467",
"1/15/1994","113.75","34.8134994506836","100","10.273","0.257000000000005","0.0102996792","3.00758955209538","0.697807195771415","8.90978247",
"1/16/1994","113.75","34.8134994506836","100","12.207","1.03100000000001","0.3227237064","3.43893864624163","0.688810568651265","8.56339047",
"1/17/1994","113.75","34.8134994506836","100","3.25599999999997","-0.562000000000012","0.1235962656","3.91598703830869","0.526608040318288","8.92451052",
"1/18/1994","113.75","34.8134994506836","100","2.77699999999999","-5.20499999999998","0.02059938","1.75919594099743","0.493107954582883","12.03817365",
"1/19/1994","113.75","34.8134994506836","100","3.93299999999999","-7.185","0","2.11441272404011","0.615627237171688","11.99717082",
"1/20/1994","113.75","34.8134994506836","100","5.37400000000002","-5.16300000000001","0","4.29221055954232","0.277423932866775","13.38890895",
"1/21/1994","113.75","34.8134994506836","100","6.923","-5.86399999999998","0","5.53230207032629","0.198141720811026","13.45049955",
"1/22/1994","113.75","34.8134994506836","100","9.15499999999997","-3.21800000000002","0","5.66562348432373","0.189298871824846","13.65547815",
"1/23/1994","113.75","34.8134994506836","100","5.01299999999998","-4.12099999999998","0","3.08486392224388","0.305376395110991","13.40015895",
"1/24/1994","113.75","34.8134994506836","100","11.032","-3.69600000000003","0","4.52970366172326","0.292431637956422","13.7770245",
"1/25/1994","113.75","34.8134994506836","100","13.75","-1.69600000000003","0","4.5299456741772","0.298129164301981","13.30897635",
"1/26/1994","113.75","34.8134994506836","100","5.286","-4.19","0","2.29432612910056","0.279301753049255","13.8885768",
"1/27/1994","113.75","34.8134994506836","100","9.78899999999999","-4.51600000000002","0","4.59155504953941","0.275932780842907","13.7598741",
"1/28/1994","113.75","34.8134994506836","100","8.11000000000001","-3.23899999999998","0","2.71487600432653","0.262086716207649","14.156499168",
"1/29/1994","113.75","34.8134994506836","100","6.35500000000002","-5.12400000000002","0","2.33432332319519","0.344060920232866","10.7055558",
"1/30/1994","113.75","34.8134994506836","100","7.59399999999999","-0.5","0.092697156","2.67297138117416","0.39093803887767","12.94813035",
"1/31/1994","113.75","34.8134994506836","100","6.90199999999999","-2.92899999999997","0.0205993728","1.35287317234252","0.591261643557084","9.741934152",
"2/1/1994","113.75","34.8134994506836","100","8.62400000000002","-3.46899999999999","0","2.44729253292955","0.594315808609617","13.893642432",
"2/2/1994","113.75","34.8134994506836","100","10.544","-5.565","0","2.61672867160144","0.513548218881122","14.4512415",
"2/3/1994","113.75","34.8134994506836","100","8.55200000000002","-2.98500000000001","2.1646522584","2.11728006574256","0.707316492428605","6.91076178",
"2/4/1994","113.75","34.8134994506836","100","11.261","-1.22500000000002","0.1544953032","3.10877103424607","0.672568919069156","14.654081232",
"2/5/1994","113.75","34.8134994506836","100","13.447","0.59699999999998","0","2.30336381497992","0.668073005911751","14.158350432",
"2/6/1994","113.75","34.8134994506836","100","12.911","-0.269999999999982","0","1.74387784420552","0.561119459647839","15.082258032",
"2/7/1994","113.75","34.8134994506836","100","14.5","0.233000000000004","0","3.17186164582286","0.471786526499052","14.1891723",
"2/8/1994","113.75","34.8134994506836","100","12.299","1.63","0","5.17170347101912","0.277927439103578","16.233916032",
"2/9/1994","113.75","34.8134994506836","100","9.863","-4.32799999999997","0","2.58597818868558","0.312016893497607","16.2845964",
"2/10/1994","113.75","34.8134994506836","100","4.32999999999998","-2.67500000000001","0.9201051","3.51626711242056","0.517686418451707","5.276020752",
"2/11/1994","113.75","34.8134994506836","100","6.803","-2.78699999999998","0.17166132","5.34657832315269","0.673380983473653","15.723783432",
"2/12/1994","113.75","34.8134994506836","100","6.47399999999999","-4.91000000000003","0","3.17818592590461","0.661865556566136","15.463908",
"2/13/1994","113.75","34.8134994506836","100","5.31999999999999","-4.15800000000002","0","2.33201543964783","0.566805292980656","13.0472469",
"2/14/1994","113.75","34.8134994506836","100","5.92700000000002","-3.327","0.250625808","1.30169099444324","0.577115190744709","9.270228168",
"2/15/1994","113.75","34.8134994506836","100","11.912","-3.61399999999998","0","2.09197490322775","0.632210070465709","16.005771432",
"2/16/1994","113.75","34.8134994506836","100","10.677","-3.18299999999999","0","1.8192439078942","0.652779237770098","15.7407768",
"2/17/1994","113.75","34.8134994506836","100","10.597","-1.13999999999999","0","2.03591655395224","0.578751524204975","16.4887335",
"2/18/1994","113.75","34.8134994506836","100","7.70600000000002","-2.00799999999998","0.0343322928","1.72015686833578","0.64262372544802","11.5403598",
"2/19/1994","113.75","34.8134994506836","100","11.048","-3.16699999999997","0","1.81566330702691","0.61615553741314","16.0599888",
"2/20/1994","113.75","34.8134994506836","100","16.638","2.37700000000001","0","4.57747391334448","0.363031402833319","18.130274568",
"2/21/1994","113.75","34.8134994506836","100","15.467","-0.617999999999995","0","3.06161995384926","0.27794843625956","17.535542832",
"2/22/1994","113.75","34.8134994506836","100","14.628","1.33300000000003","0.0034332264","5.46584639916651","0.40985052801512","16.503694632",
"2/23/1994","113.75","34.8134994506836","100","5.15899999999999","-2.053","2.0067216984","7.46973346864462","0.432543343931928","3.82792608",
"2/24/1994","113.75","34.8134994506836","100","5.93400000000003","-2.88200000000001","0.1579284","2.89599441937748","0.400219721873482","14.125380768",
"2/25/1994","113.75","34.8134994506836","100","8.279","-6.04700000000003","0","1.75421241767011","0.318987768424742","18.5687451",
"2/26/1994","113.75","34.8134994506836","100","10.687","-1.14299999999997","0","1.2992235148819","0.333290206210741","17.074176768",
"2/27/1994","113.75","34.8134994506836","100","12.406","-1.56599999999997","0","2.62964241703239","0.398595984406219","18.6896223",
"2/28/1994","113.75","34.8134994506836","100","8.99200000000002","0.420999999999992","0","3.26480205770341","0.295640384294864","18.681023232",
"3/1/1994","113.75","34.8134994506836","100","13.179","-3.25200000000001","0","2.63428347801233","0.331710943584526","19.728668232",
"3/2/1994","113.75","34.8134994506836","100","15.677","-0.956999999999994","0","2.5884030736806","0.341492714873312","18.022838832",
"3/3/1994","113.75","34.8134994506836","100","19.165","2.14999999999998","0","2.93868564168607","0.381725109530191","19.9816353",
"3/4/1994","113.75","34.8134994506836","100","12.973","0.440999999999974","0","3.13119562576683","0.430030448120639","20.4385482",
"3/5/1994","113.75","34.8134994506836","100","16.226","0.089999999999975","2.097703152","2.26863355592517","0.553121024054961","14.61898152",
"3/6/1994","113.75","34.8134994506836","100","14.565","5.74700000000001","1.891707948","2.23397716808505","0.741915434759645","14.500908",
"3/7/1994","113.75","34.8134994506836","100","16.555","1.52600000000001","0.0205993728","2.63982497360804","0.696258941710039","16.99919136",
"3/8/1994","113.75","34.8134994506836","100","11.49","2.01499999999999","2.255632416","4.09347370335261","0.543564482622858","10.678889232",
"3/9/1994","113.75","34.8134994506836","100","8.90800000000002","-0.990000000000009","0.83084112","1.93503568323218","0.472907299961983","16.17553485",
"3/10/1994","113.75","34.8134994506836","100","11.625","-0.928999999999974","0","4.00533175547862","0.55819087909336","20.97550539",
"3/11/1994","113.75","34.8134994506836","100","7.65800000000002","1.97399999999999","0.43258698","4.12060481991409","0.754100475442179","7.86758013",
