Date,Longitude,Latitude,Elevation,Max Temperature,Min Temperature,Precipitation,Wind,Relative Humidity,Solar,Temperture
1/1/1994,31.25,30.13010025,9,19.38,15.158,0.640297044,2.183156081,0.767007482,2.4805125,17.269
1/2/1994,31.25,30.13010025,9,19.744,10.843,0,2.738756816,0.608495983,12.9565188,15.2935
1/3/1994,31.25,30.13010025,9,17.534,10.801,0,3.433749524,0.549237547,9.26634204,14.1675
1/4/1994,31.25,30.13010025,9,17.996,9.668,0.024032599,2.803681469,0.660360341,7.5778353,13.832
1/5/1994,31.25,30.13010025,9,19.064,5.646,0,1.141710301,0.725923177,13.2518295,12.355
1/6/1994,31.25,30.13010025,9,19.882,6.845,0,1.91222869,0.701330419,13.3513281,13.3635
1/7/1994,31.25,30.13010025,9,21.053,8.244,0,2.141419785,0.699802066,13.4760987,14.6485
1/8/1994,31.25,30.13010025,9,22.173,8.844,0,1.941270876,0.688311646,13.6486179,15.5085
1/9/1994,31.25,30.13010025,9,23.978,9.626,0,1.506950497,0.492960307,12.1903308,16.802
1/10/1994,31.25,30.13010025,9,24.031,11.561,0,1.772368134,0.463016599,12.429792,17.796
1/11/1994,31.25,30.13010025,9,20.798,7.747,0,1.324417734,0.735444454,13.6762866,14.2725
1/12/1994,31.25,30.13010025,9,21.33,9.475,0,2.100943527,0.699614159,13.3558866,15.4025
1/13/1994,31.25,30.13010025,9,23.257,8.375,0,1.934657353,0.578642916,14.03633117,15.816
1/14/1994,31.25,30.13010025,9,17.876,8.031,0,2.271819746,0.371248402,14.38295897,12.9535
1/15/1994,31.25,30.13010025,9,15.421,10.272,0.566481996,2.443745754,0.552514006,5.68040328,12.8465
1/16/1994,31.25,30.13010025,9,18.337,8.39,0,2.391629518,0.644715542,13.70593037,13.3635
1/17/1994,31.25,30.13010025,9,19.649,5.878,0,1.234363581,0.681647347,14.29284197,12.7635
1/18/1994,31.25,30.13010025,9,22.412,8.434,0,2.048654125,0.68349078,14.5034487,15.423
1/19/1994,31.25,30.13010025,9,24.387,5.879,0,1.126909701,0.630465258,14.8202451,15.133
1/20/1994,31.25,30.13010025,9,21.503,8.356,0,1.609891813,0.676112376,11.72379726,14.9295
1/21/1994,31.25,30.13010025,9,24.912,8.561,0,1.332212956,0.546909761,14.1058107,16.7365
1/22/1994,31.25,30.13010025,9,20.067,11.598,0,1.85388901,0.546736289,9.6162732,15.8325
1/23/1994,31.25,30.13010025,9,17.945,10.004,0.03776549,2.125679797,0.710044698,10.1244924,13.9745
1/24/1994,31.25,30.13010025,9,14.985,10.12,0.454902581,1.464331246,0.709808094,5.11374402,12.5525
1/25/1994,31.25,30.13010025,9,16.048,7.251,0.099563616,1.462307125,0.727690214,5.239521288,11.6495
1/26/1994,31.25,30.13010025,9,17.875,9.758,0.240325956,1.091660386,0.796647834,7.221036888,13.8165
1/27/1994,31.25,30.13010025,9,20.775,9.983,0.27465827,1.325813317,0.627983518,7.482202848,15.379
1/28/1994,31.25,30.13010025,9,21.212,13.129,0.15449508,2.912369978,0.557019033,11.66225346,17.1705
1/29/1994,31.25,30.13010025,9,20.172,11.561,0,3.521639983,0.486604201,15.51526776,15.8665
1/30/1994,31.25,30.13010025,9,18.335,12.071,0.690078744,3.878812898,0.545694668,11.11950569,15.203
1/31/1994,31.25,30.13010025,9,15.847,8.606,1.96380792,3.523590542,0.512378258,12.47146668,12.2265
2/1/1994,31.25,30.13010025,9,16.532,4.78,0.01373292,1.714998577,0.588184833,15.73717581,10.656
2/2/1994,31.25,30.13010025,9,16.934,6.507,0.147628836,1.414357659,0.69727145,10.28485566,11.7205
2/3/1994,31.25,30.13010025,9,16.851,5.043,0,1.752784638,0.713509129,16.06179708,10.947
2/4/1994,31.25,30.13010025,9,18.479,4.306,0,1.640625078,0.664425065,16.60151034,11.3925
2/5/1994,31.25,30.13010025,9,17.766,6.696,0,2.351954815,0.72984611,16.83050706,12.231
2/6/1994,31.25,30.13010025,9,22.169,6.599,0,2.135008053,0.636099929,17.24832801,14.384
2/7/1994,31.25,30.13010025,9,22.998,9.368,0,2.312216632,0.406949211,7.4859822,16.183
2/8/1994,31.25,30.13010025,9,20.003,6.996,0,2.003753142,0.281558253,18.24783786,13.4995
2/9/1994,31.25,30.13010025,9,21.529,7.138,0,1.473838144,0.300485208,17.51259456,14.3335
2/10/1994,31.25,30.13010025,9,21.663,6.66,0,2.056626734,0.209270107,18.14106834,14.1615
2/11/1994,31.25,30.13010025,9,20.172,8.254,0,2.470923579,0.454406081,15.2482491,14.213
2/12/1994,31.25,30.13010025,9,20.101,8.557,0,2.60505628,0.569707414,17.97418224,14.329
2/13/1994,31.25,30.13010025,9,19.764,7.844,0,2.086314306,0.496993048,18.16705566,13.804
2/14/1994,31.25,30.13010025,9,21.359,4.232,0,0.825684061,0.70208236,17.68500441,12.7955
2/15/1994,31.25,30.13010025,9,23.818,5.629,0,2.041595353,0.514556266,18.72804789,14.7235
2/16/1994,31.25,30.13010025,9,15.718,4.897,0.130462668,1.690075933,0.795312555,11.10319308,10.3075
2/17/1994,31.25,30.13010025,9,19.499,2.595,0,1.75252628,0.66838521,18.64732536,11.047
2/18/1994,31.25,30.13010025,9,23.423,7.258,0,2.646835491,0.519742683,19.24958754,15.3405
2/19/1994,31.25,30.13010025,9,27.931,8.355,0,1.697676187,0.349564974,19.69126614,18.143
2/20/1994,31.25,30.13010025,9,23.634,7.723,0,1.78044734,0.458153902,19.13922954,15.6785
2/21/1994,31.25,30.13010025,9,21.813,7.064,0,1.64209679,0.47519133,19.62950717,14.4385
2/22/1994,31.25,30.13010025,9,20.361,11.134,0,3.50077894,0.40011248,19.78459013,15.7475
2/23/1994,31.25,30.13010025,9,17.426,11.015,2.075386752,2.400138546,0.664941259,9.1407915,14.2205
2/24/1994,31.25,30.13010025,9,19.512,7.46,0.16479504,1.565129378,0.691820175,19.06571203,13.486
2/25/1994,31.25,30.13010025,9,23.047,7.451,0,1.478885924,0.528256498,20.30647824,15.249
2/26/1994,31.25,30.13010025,9,25.159,10.544,0,2.405407676,0.381346492,20.77892107,17.8515
2/27/1994,31.25,30.13010025,9,19.907,8.215,0,2.236991307,0.701268692,12.60376279,14.061
2/28/1994,31.25,30.13010025,9,22.761,5.318,0,1.24256915,0.639865029,20.92770857,14.0395
3/1/1994,31.25,30.13010025,9,23.766,6.247,0,1.735613915,0.532759113,21.19388069,15.0065
3/2/1994,31.25,30.13010025,9,24.485,6.832,0,2.169379206,0.570282184,21.46219308,15.6585
